disease_name,assigned_label
"화농피부증, 연조직염 (Juvenile pyoderma, cellulitis, in puppies and adult dogs)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부진균에 의한 독창병변 (Kerion lesion due to a dermatophyte in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
Klippel-Trenaunay 증후군(Klippel-trenaunay syndrome in a border collie),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
요크셔테리어의 멜라닌 피부증과 탈모증(Melanoderma and alopecia of yorkshire terriers),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"집파리 감염증, 피부염 (Musca infestation, fly dermatitis in dogs and horses)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
괴사 근막염(Necrotizing fasciitis in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
위염(Nocardial stomatitis in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
기생충에 의한 결절피부질병(Nodular skin disease due to anatrichosoma sp. in dogs),결절_종괴 (Nodule_Tumor)
"프로토테카증(Protothecosis, prototheca, in dogs)",결절_종괴 (Nodule_Tumor)
springer spaniels에서의 태선모양(Psoriasiform) 피부염(Psoriasiform lichenoid dermatitis in springer spaniels),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"광견병 백신에 의한 국소 피부 병변, 허혈성 피부병(Rabies vaccination induced focal cutaneous skin lesion, ischemic dermatopathy)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"신장 낭샘암종, 낭샘종과 결절상 피부섬유증(Renal cystadenocarcinoma, cystadenoma and nodular dermatofibrosis in dogs)",결절_종괴 (Nodule_Tumor)
"지루(Seborrheic disease complex, seborrhea in dogs)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"선택적인 IgA 결핍(Selective immunoglobulin a, iga, deficiency in dogs)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
Shar pei 피부 증후군(Shar pei dermatologic syndrome in dogs),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
coccidia 와 관련된 개에서 피부 결절증(Skin nodules in dogs associated with coccidia),결절_종괴 (Nodule_Tumor)
"일광 피부염, 광피부염(Solar dermatitis in dogs, photodermatitis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
눈의 발생장애 (OCULAR DYSGENESIS IN AUSTRALIAN SHEPHERDS),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부조직구증(Cutaneous histiocytosis in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부혼성낭종(Cutaneous hybrid cyst in dogs),결절_종괴 (Nodule_Tumor)
피부내장성유두증(Cutaneous inverted papillomas in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부점액증(Cutaneous mucinosis in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부정맥확장증(Cutaneous phlebectasis in dogs),농포_여드름 (Pustules_Acne)
달마시안청동증후군(Dalmatian bronzing syndrome),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
담즙산염결핍(Deficiency of bile salts in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
개의 내측눈구석의 비정상적인 진피(ABERRANT DERMIS OF THE MEDIAL CANTHUS IN DOGS),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
개의 흑색가시세포증(.ACANTHOSIS NIGRICANS IN DOGS),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"개의 흡인성, 알러지성, 아토피성 피부염, 개 아토피(ALLERGIC INHALENT, ATOPIC, DERMATITIS IN DOGS, 개 ATOPY)",미란_궤양 (Erosion_Ulcer)
"가슴샘, 성장 호르몬 이상(Thymic and growth hormone abnormalitis in weimaraners)",결절_종괴 (Nodule_Tumor)
"백모증과 백반증을 동반한 포도막염 (Uveitis with poliosis and vitiligo, canine uveodermatological syndrome)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
개의 티로신혈증 (Tyrosinemia in dogs),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
개의 창상 후 나타나는 방광-피부 누관 (Vesicocutaneous fistulation following trauma in dogs),미란_궤양 (Erosion_Ulcer)
개에서의 비타민 A 반응성 피부병 (Vitamin a responsive dermatosis in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
리슈마니아증(Leishmaniasis),미란_궤양 (Erosion_Ulcer)
림프종/림프육종(Lymphoma/Lymphosarcoma),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
모낭충증(Demodicosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"근병증- 전신성, 다발성 근염, 피부근염(Myopathy, generalized inflammatory-polymyositis, dermatomyositis)",결절_종괴 (Nodule_Tumor)
"편평세포 암 -발가락(Squamous cell carcinoma, digit)",미란_궤양 (Erosion_Ulcer)
"편평세포암 -귀(Squamous cell carcinoma, ear)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"편평세포암-피부형(Squamous cell carcinoma, skin)",결절_종괴 (Nodule_Tumor)
피부진균증(Dermatophytosis),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
피부 무력증(Cutaneous asthenia),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 방선균증 (Dermatophilosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"혈관염, 피부 (Vasculitis, cutaneous)",미란_궤양 (Erosion_Ulcer)
" 혈관육종, 피부(Hemangiosarcoma, skin)",결절_종괴 (Nodule_Tumor)
조직구증(Histiocytosis),결절_종괴 (Nodule_Tumor)
기저 세포종 (Basal cell tumor),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
자상성(지단핥음) 피부염(Acral lick dermatitis),미란_궤양 (Erosion_Ulcer)
농피증(Pyoderma),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
체이레티오시스 (Cheyletiellosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
알러지성 접촉성 피부염(Allergic contact dermatitis),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
뇨나 분변에 의한 열상 (Urine or fecal scald),농포_여드름 (Pustules_Acne)
유천포창(Bullous pemphigoid),미란_궤양 (Erosion_Ulcer)
표재성 괴사성 피부염(Superficial necrolytic dermatitis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피하 약진(Cutaneous drug eruption),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"약물 발진,특이체질적인 피하 반응(Drug eruption, idiosyncratic cutaneous reaction)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"한랭글로불린혈증 (Cold agglutinin disease, cryoglobulinemia, cryofibrinogenemia in dogs, cats)",결절_종괴 (Nodule_Tumor)
특발성 태선모양피부염 (Idiopathic lichenoid dermatitis in dogs and cats),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"국한피부경피증 (LOCALIZED SCLERODERMA, CANINE, FELINE OR EQUINE MORPHEA)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"신경섬유종, 신경섬유육종, 신경집종(Neurofibroma, neurofibrosarcoma, neurilemmoma, schwannoma)",결절_종괴 (Nodule_Tumor)
"옴진드기, 진드기증, 개선충, 옴 (Sarcoptic mange mites, acariasis, sarcoptes scabiei, scabies in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개, 고양이의 지루성 피부염균 감염증, 피부염, 구강감염 (MALASSEZIA PACHYDERMATIS INFECTION, DERMATITIS, ORAL INFECTION IN DOGS AND CATS)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
피부 독성 괴사증(Toxic epidermal necrolysis in dogs and cats),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"기관, 기관지 파열, 천공, 열상, 창상(Tracheal, bronchus, rupture, perforation, laceration, trauma)",미란_궤양 (Erosion_Ulcer)
눈꺼풀겉말림(Ectropion),미란_궤양 (Erosion_Ulcer)
"불완전 상피증식, 피부무형성(Epitheliogenesis imperfecta, aplasia cutis )",미란_궤양 (Erosion_Ulcer)
"다형홍반(Erythema multiforme in dogs, cats, horses and cattle )",결절_종괴 (Nodule_Tumor)
"클로스트리디알 근육염, 가스괴저 (Clostridial myositis, gas gangrene, in dogs and cats)",농포_여드름 (Pustules_Acne)
요막관 개존증(PATENT URACHUS OR URACHAL CYST),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
낙엽상 천포창(Pemphigus foliaceus in dogs and cats),미란_궤양 (Erosion_Ulcer)
"심상 천포창(Pemphigus vulgaris in dogs, cats, and horses)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이에서 피부석회침착증, 종양성 석회침착증 (Calcinosis cutis, circumscripta, tumoral calcinosis in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"고양이, 개에서 불완전 뼈 발생 (Osteogenesis imperfecta in cattle, sheep, cats and dogs)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이에서 외이도염, 중이염, 내이염, 곁귀농양 (Otitis externa, media, interna, para-aural abscesses, in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
개와 고양이의 혈관종(HEMANGIOMA IN DOGS AND CATS),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
아밀로이드성 치아종 (Amyloid-producing odontogenic tumor),결절_종괴 (Nodule_Tumor)
"결핵 고양이 마이코박테리아 감염(Canine, feline tuberculosis, mycobacterium in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 점막 칸디다증(Cutaneous and mucosal candidiasis in the dog and cat),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
피부 혈관암종(Cutaneous angiomatosis in dogs and cats),결절_종괴 (Nodule_Tumor)
"새진드기의 체내 침입(Dermanyssus gallinae, poultry mite, infestation)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"피부모양기형낭유피낭, 피부모양기형낭유피동(Dermoid cyst, sinus, in dogs and cats)",결절_종괴 (Nodule_Tumor)
원반모양루프스 홍반(Discoid lupus erythematosus in dogs and cats),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"골화섬유형성이상, 골화근육염(Fibrodysplasia ossificans, myositis ossificans in dogs, cats and pigs)",결절_종괴 (Nodule_Tumor)
"피부섬유종, 결절 육아종 공막각막염, 공막염(Fibrous histiocytoma, nodular granulomatous episclerokeratitis, episcleritis)",결절_종괴 (Nodule_Tumor)
"종아리, 신경불완전마비, 마비 (Fibular, peroneal, nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
벼룩깃 피부염(Flea collar dermatitis in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"벼룩감염, 벼룩물림(Flea infestation, pulicosis, in dogs and cats, fleas)",결절_종괴 (Nodule_Tumor)
헥사클로로펜의 독성 (Hexachlorophene toxicity in dogs and cats),결절_종괴 (Nodule_Tumor)
"구충 피부염 (Hookworm dermatitis in dogs, cats, cattle, and sheep)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"감각과민, 자기 핥기,  씹기와  할퀴기 (Hyperesthesia, self-licking, self-chewing and scratching in dogs and cats)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"개와 고양이의 발가락 사이 , 발 볼록살에서의  화농피부증과 발피부염 (Interdigital , foot pad pyoderma , pododermatitis , in dogs and cats)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
유사건선과 비슷한 피부병 (Large plaque parapsoriasis-like dermatosis in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"정중 , 척골 신경 부전 마비, 마비(Median and ulnar nerve paresis, paralysis)",미란_궤양 (Erosion_Ulcer)
"Melaleuca 오일, 티트리 오일의 개와 고양이에서의 독성 (Melaleuca oil, tea tree oil, toxicity in dogs and cats)",농포_여드름 (Pustules_Acne)
모기 감염 (Mosquito infestation),농포_여드름 (Pustules_Acne)
"균종,거짓균종, 피부진균성 육아종 (Mycetoma, pseudomycetoma, dermatophyte granulomas, in the dog and cat)",결절_종괴 (Nodule_Tumor)
"사마귀, 모반(Nevus, nevi, in dogs, cats, and horses)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"흑색진균증(Phaeohyphomycosis in dogs, cats, and horses)",미란_궤양 (Erosion_Ulcer)
Phenol 독성(Phenol toxicity in dogs and cats),미란_궤양 (Erosion_Ulcer)
신경성 탈모증과 피부염(Psychogenic alopecia and dermatitis in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"요골신경 불완전마비, 마비(Radial nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"밧줄, 쇠줄, 화상, 찰과상, 살속으로 파고든 굴레 (Rope, wire, burns or abrasions, ingrown collar)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"좌골, 신경 불완전마비, 마비 (Sciatic, ischiatic, nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
내부기생충에 의한 피부 알러지(Skin allergy to endoparasites in dogs and cats),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"피부주름 피부염, 화농피부증, 간찰진(Skin fold dermatitis, pyoderma, intertrigo in dogs and cats)",농포_여드름 (Pustules_Acne)
"뱀에 의한 교상 (Snake bites, snakebites)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"이분척추증(Spina bifida in dogs, cats, and sheep)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"비결핵성 마이코박테리아 육아종, 피부염 (Nontuberculous (atypical) mycobacterial granuloma, dermatitis, dogs and cats)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
안구 흑색종 (OCULAR MELANOMA),결절_종괴 (Nodule_Tumor)
"림프관종, 림프관육종, 림프관확장증 (LYMPHANGIOMA, LYMPHANGIOSARCOMA, LYMPHANGIECTASIS IN DOGS AND CATS)",결절_종괴 (Nodule_Tumor)
"개, 고양이의 비만세포종, 전신 비만세포증 (MAST CELL TUMOR, NEOPLASIA, MASTOCYTOMA, SYSTEMIC MASTOCYTOSIS IN DOGS AND CATS)",결절_종괴 (Nodule_Tumor)
피부하브로네마증(Cutaneous habronemiasis in dogs and cats),미란_궤양 (Erosion_Ulcer)
피부뿔(Cutaneous horns in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"피부평활근종(Cutaneous leiomyoma, leiomyosarcoma in dogs and cats)",결절_종괴 (Nodule_Tumor)
"피부맥관염(Cutaneous vasculitis, angiitis, in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"피부의, 상피모양의, 림프종의, 림프육종의, 균상식육종(Cutaneous, epitheliotropic, lymphoma, lymphosarcoma, mycosis fungoides)",결절_종괴 (Nodule_Tumor)
"Cuterebra，쇠파리유충피부증의 감염(Cuterebra, dermatobia, infection in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이의 후천성 피부 백반증(ACQUIRED SKIN HYPOPIGMENTATION IN DOGS AND CATS, VITILIGO)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이의광선, 태양광 각화증, 피부병(ACTINIC, SOLAR KERATOSES, DERMATOSES, IN CATS AND DOGS)",미란_궤양 (Erosion_Ulcer)
"개와 고양이의 급성 습진성피부염, 화농창상성 열점(ACUTE MOIST DERMATITIS, PYOTRAUMATIC HOT SPOTS IN DOGS AND CATS)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
개와 고양이의 점액 탈모증(ALOPECIA MUCINOSA IN CATS AND DOGS),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
탈륨 중독증(Thallium toxicity in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"두드러기 (Urticaria, hives)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"개와 고양이에서의 털진드기 감염 (Trombiculidae, chigger, infestation in dogs and cats)",농포_여드름 (Pustules_Acne)
"제대 허니아 (Umbilical hernia, omphalocele)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
