disease_name,assigned_label
"개, 고양이의 지루성 피부염균 감염증, 피부염, 구강감염 (MALASSEZIA PACHYDERMATIS INFECTION, DERMATITIS, ORAL INFECTION IN DOGS AND CATS)",농포_여드름 (Pustules_Acne)
피부 독성 괴사증(Toxic epidermal necrolysis in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"기관, 기관지 파열, 천공, 열상, 창상(Tracheal, bronchus, rupture, perforation, laceration, trauma)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
눈꺼풀겉말림(Ectropion),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"불완전 상피증식, 피부무형성(Epitheliogenesis imperfecta, aplasia cutis )",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"다형홍반(Erythema multiforme in dogs, cats, horses and cattle )",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"클로스트리디알 근육염, 가스괴저 (Clostridial myositis, gas gangrene, in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
요막관 개존증(PATENT URACHUS OR URACHAL CYST),농포_여드름 (Pustules_Acne)
낙엽상 천포창(Pemphigus foliaceus in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"심상 천포창(Pemphigus vulgaris in dogs, cats, and horses)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이에서 피부석회침착증, 종양성 석회침착증 (Calcinosis cutis, circumscripta, tumoral calcinosis in dogs and cats)",결절_종괴 (Nodule_Tumor)
"고양이, 개에서 불완전 뼈 발생 (Osteogenesis imperfecta in cattle, sheep, cats and dogs)",결절_종괴 (Nodule_Tumor)
"개와 고양이에서 외이도염, 중이염, 내이염, 곁귀농양 (Otitis externa, media, interna, para-aural abscesses, in dogs and cats)",결절_종괴 (Nodule_Tumor)
개와 고양이의 혈관종(HEMANGIOMA IN DOGS AND CATS),결절_종괴 (Nodule_Tumor)
아밀로이드성 치아종 (Amyloid-producing odontogenic tumor),결절_종괴 (Nodule_Tumor)
"결핵 고양이 마이코박테리아 감염(Canine, feline tuberculosis, mycobacterium in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 점막 칸디다증(Cutaneous and mucosal candidiasis in the dog and cat),농포_여드름 (Pustules_Acne)
피부 혈관암종(Cutaneous angiomatosis in dogs and cats),결절_종괴 (Nodule_Tumor)
"새진드기의 체내 침입(Dermanyssus gallinae, poultry mite, infestation)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"피부모양기형낭유피낭, 피부모양기형낭유피동(Dermoid cyst, sinus, in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
원반모양루프스 홍반(Discoid lupus erythematosus in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"골화섬유형성이상, 골화근육염(Fibrodysplasia ossificans, myositis ossificans in dogs, cats and pigs)",결절_종괴 (Nodule_Tumor)
"피부섬유종, 결절 육아종 공막각막염, 공막염(Fibrous histiocytoma, nodular granulomatous episclerokeratitis, episcleritis)",결절_종괴 (Nodule_Tumor)
"종아리, 신경불완전마비, 마비 (Fibular, peroneal, nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
벼룩깃 피부염(Flea collar dermatitis in dogs and cats),결절_종괴 (Nodule_Tumor)
"벼룩감염, 벼룩물림(Flea infestation, pulicosis, in dogs and cats, fleas)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
헥사클로로펜의 독성 (Hexachlorophene toxicity in dogs and cats),농포_여드름 (Pustules_Acne)
"구충 피부염 (Hookworm dermatitis in dogs, cats, cattle, and sheep)",농포_여드름 (Pustules_Acne)
"감각과민, 자기 핥기,  씹기와  할퀴기 (Hyperesthesia, self-licking, self-chewing and scratching in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이의 발가락 사이 , 발 볼록살에서의  화농피부증과 발피부염 (Interdigital , foot pad pyoderma , pododermatitis , in dogs and cats)",농포_여드름 (Pustules_Acne)
유사건선과 비슷한 피부병 (Large plaque parapsoriasis-like dermatosis in dogs and cats),농포_여드름 (Pustules_Acne)
"정중 , 척골 신경 부전 마비, 마비(Median and ulnar nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"Melaleuca 오일, 티트리 오일의 개와 고양이에서의 독성 (Melaleuca oil, tea tree oil, toxicity in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
모기 감염 (Mosquito infestation),농포_여드름 (Pustules_Acne)
"균종,거짓균종, 피부진균성 육아종 (Mycetoma, pseudomycetoma, dermatophyte granulomas, in the dog and cat)",결절_종괴 (Nodule_Tumor)
"사마귀, 모반(Nevus, nevi, in dogs, cats, and horses)",결절_종괴 (Nodule_Tumor)
"흑색진균증(Phaeohyphomycosis in dogs, cats, and horses)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
Phenol 독성(Phenol toxicity in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
신경성 탈모증과 피부염(Psychogenic alopecia and dermatitis in dogs and cats),결절_종괴 (Nodule_Tumor)
"요골신경 불완전마비, 마비(Radial nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"밧줄, 쇠줄, 화상, 찰과상, 살속으로 파고든 굴레 (Rope, wire, burns or abrasions, ingrown collar)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"좌골, 신경 불완전마비, 마비 (Sciatic, ischiatic, nerve paresis, paralysis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
내부기생충에 의한 피부 알러지(Skin allergy to endoparasites in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"피부주름 피부염, 화농피부증, 간찰진(Skin fold dermatitis, pyoderma, intertrigo in dogs and cats)",농포_여드름 (Pustules_Acne)
"뱀에 의한 교상 (Snake bites, snakebites)",농포_여드름 (Pustules_Acne)
"이분척추증(Spina bifida in dogs, cats, and sheep)",결절_종괴 (Nodule_Tumor)
"비결핵성 마이코박테리아 육아종, 피부염 (Nontuberculous (atypical) mycobacterial granuloma, dermatitis, dogs and cats)",결절_종괴 (Nodule_Tumor)
안구 흑색종 (OCULAR MELANOMA),결절_종괴 (Nodule_Tumor)
"림프관종, 림프관육종, 림프관확장증 (LYMPHANGIOMA, LYMPHANGIOSARCOMA, LYMPHANGIECTASIS IN DOGS AND CATS)",결절_종괴 (Nodule_Tumor)
"개, 고양이의 비만세포종, 전신 비만세포증 (MAST CELL TUMOR, NEOPLASIA, MASTOCYTOMA, SYSTEMIC MASTOCYTOSIS IN DOGS AND CATS)",결절_종괴 (Nodule_Tumor)
피부하브로네마증(Cutaneous habronemiasis in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부뿔(Cutaneous horns in dogs and cats),결절_종괴 (Nodule_Tumor)
"피부평활근종(Cutaneous leiomyoma, leiomyosarcoma in dogs and cats)",결절_종괴 (Nodule_Tumor)
"피부맥관염(Cutaneous vasculitis, angiitis, in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"피부의, 상피모양의, 림프종의, 림프육종의, 균상식육종(Cutaneous, epitheliotropic, lymphoma, lymphosarcoma, mycosis fungoides)",농포_여드름 (Pustules_Acne)
"Cuterebra，쇠파리유충피부증의 감염(Cuterebra, dermatobia, infection in dogs and cats)",결절_종괴 (Nodule_Tumor)
"개와 고양이의 후천성 피부 백반증(ACQUIRED SKIN HYPOPIGMENTATION IN DOGS AND CATS, VITILIGO)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개와 고양이의광선, 태양광 각화증, 피부병(ACTINIC, SOLAR KERATOSES, DERMATOSES, IN CATS AND DOGS)",농포_여드름 (Pustules_Acne)
"개와 고양이의 급성 습진성피부염, 화농창상성 열점(ACUTE MOIST DERMATITIS, PYOTRAUMATIC HOT SPOTS IN DOGS AND CATS)",결절_종괴 (Nodule_Tumor)
개와 고양이의 점액 탈모증(ALOPECIA MUCINOSA IN CATS AND DOGS),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
탈륨 중독증(Thallium toxicity in dogs and cats),결절_종괴 (Nodule_Tumor)
"두드러기 (Urticaria, hives)",결절_종괴 (Nodule_Tumor)
"개와 고양이에서의 털진드기 감염 (Trombiculidae, chigger, infestation in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"제대 허니아 (Umbilical hernia, omphalocele)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
