num,disease_name,animal,define,cause,disease_before,disease_now,condition,jindan,oxjindan,opinion,treatment,preventing,preventing_next,advice,etc,chamgo,image1,image2,image3,image4,image5
1443,국소적 코티코스테로이드 피부병(Topical corticosteroid dermatosis in dogs),개," 국소적 코티코스테로이드 치료는 피부 아토피, 여드름, 탈모, 물집 피부병 등에 쓰인다. 치료의 병력, 증상으로 진단한다.",,,, 탈모 | 피부 구진 | 피부 색소 과잉 침착 | 피부 수포 | 피부가 비쩍 마름 | 피부의 궤양 | 피부홍반 |,,,,,,,,,,,,,,
325,"에스트로겐, FSH에 의한 피부병(Estrogen, fsh-responsive dermatosis in female dogs, hypoestrogenism)",개,"에스트로겐에 의한 피부병은 암캐에서 자주 발생하며, 닥스훈트나 박서 종의 경우에는 위험한 상황이 초래되기도 함. 이 질환은 난소 제거수술이 제대로 안되었거나, 발정주기의 이상, 거짓임신 등에 의해 나타남. 이 질환으로 개는 양측성으로 나타나는 전신 탈모증이 나타나고, 이차적으로 지루성 피부병을 앓게 됨. 요실금과 소양감 증세도 자주 나타남. 병력과 에스트로겐 치료에 따른 효과를 보고 진단. FSH 투여를 한 어리며 중성화수술을 하지 않은 암캐에서 이 질환이 보고. 
",,,,"무발정 , 발정휴지 | 발정기간의 이상 | 불규칙한 발정과 발정사이 기간 | 소양감 , 가려움 | 요실금 | 탈모 , 무모증 | 피부 인설 , 비듬 , 비늘 | 피부통증 | 피부홍반 , 염증 , 발적 |

",,,,,,,,,,,,,,
363,"간선충피부염(Pelodera, rhabditic dermatitis)",개,"자유생활하는 선충류인 PELODERA STRONGYLOIDES에 의해 일어남. 측축한 환경에서 살며, 불결한 상태에 있는 환축에서 질병이 발생. 주요 증상은 탈모증이며 특히 목, 옆구리, 누울때 접촉하는 부위에서 일어남.피부를 긁어 검사하거나 선충의 동정으로 진단.
",,,,"과각화증 , 두꺼운 피부 | 소양감 , 가려움피부의 가피 , 딱지 | 주름진 피부 | 탈모 , 무모 | 피부 구진 | 피부 농포 | 피부 부종 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 |
",,,,,,,,,,,,,,
368,증식성 천포창(Pemphigus vegetans in dogs),개,"증식성천포창은 자가면역 수포농포성의 질환이며 심상천포창의 양성 또는 비정형의 형태임. 사마귀성 증식과 유두종성 증식으로 전개되며 농포가 점점생김. 소양증과 통증이 다양하게 나타남. 니콜스키 증상이 존재함. 임상증세, 직접도말, 면역형광법, 피부생검 등에 기초해서 진단함. 
",,,,"구강 통증 , 구강점막 및 혀의 통증 | 구강점막의궤양 , 수포 , 플라크(반) , 농포 , 미란 , 절창 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발톱 , 갈퀴 , 발굽의 괴저편 또는 박리 | 비강점막의 궤양 , 수포 , 미란 , 열상 , 절창 , 구진 , 농포 | 소양감 , 가려움 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 음경 , 포피에 구진 , 농포 , 수포 , 궤양 | 인두의 궤양 , 수포 , 미란 , 구진 | 전신파행 , 경직 , 절름발이 | 질 , 자궁경부의 궤양 , 수포 , 열창 , 구진 , 농포 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 수포 , 대수포 , 물집 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 혀의 궤양 , 수포 , 미란 , 궤양 , 수포 , 절창 , 열상 | 

",,,,,,,,,,,,,,
410,"개의 모낭충 감염  (Canine demodectic mange mites, demodex, demodicosis in dogs)",개," 모낭충은 특정 개에서 피부질환을 일으키며 정상적으로 피부에 상재한다. 개에서 모낭충의 세가지 형태(D. CANIS, a short form, and a large-bodied mite)가 있다. 어린 동물이  유전적인 소인을 갖을 수 있다.; 스테로이드로 인한 면역 억압이나 잠재적인 질병이 나이가 들었을 때 모낭충증을 일으킬수 있다. 국소적이나 전신적으로 나타난다. 국소병변이 전신적으로 발전 가능하며 4-8주후 자연 치유될 수도 있다. 병변은 대부분 머리와 다리에 나타난다. 전신적인 형태는 성성숙기(국소병변의 발전)나 성견이 되었을 때 발병한다. 소양감은 다양하다. 이차 피부감염이 발생한다. 모낭충증은 또한 외이염이나 만성 발피부염으로 나타날 수 있다. 진단은 피부소파에 의한다.
",,,,"과각화증 , 두꺼운 피부 | 귀 긁기 | 귀의 진드기 , 응애 또는 기생충분비물 | 귀의 화농성 , 점액양 분비물 , 귓밥이 많음 , 악취 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 뒷발 , 발가락 종창 , 종괴 | 머리 흔들기 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 | 소양감 , 가려움 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 전신파행 , 경직 , 절름발이 | 체중감소 | 탈모 , 무모증 | 피부 구진 | 피부 균열 ,  열구 | 피부 농포 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 반흔 , 흉터 | 피부 부종 | 피부 색소 과잉 침착 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부 플라크(반) | 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부의 악취 , 냄새 | 피부의 화농성 분비물 | 피부홍반 , 염증 , 발적 | 
",,,,,,,,,,,,,,
423,"Orthopoxvirus에 감염된 개, 우두, 천연두 (Orthopoxvirus infection in dogs, cowpox, pox)", 개,"대게는 우두 바이러스인 Orthopoxvirus는 개에서 피부 궤양 병변이 확인되어짐. 이것은 설치류로부터 전파될 수 있고 사람에게 전염 가능.
",,,,"피부 통증 | 피부의 궤양 , 미란 , 찰과상 |


",,,,,,,,,,,,,,
441,"유두종증, 개 사마귀 (Papillomatosis, canine warts)",개,"점막이나 피부에 초기에 사마귀 같이 자라는 개의 바이러스 질병. 보통 문제가 없음. 만약 2차적인 감염이나 저작을 방해하지 않으면 보통 문제가 없음. 증상과 생검으로 진단.
",,,,"각막의 종창 , 종괴 , 결절 | 과도한 침흘림 , 유연 , 입에 거품 | 구강 , 혀의 종창 , 종괴 | 뒷발, 발가락 종창 , 종괴 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞발 , 발가락 종창 , 종괴 | 연하곤란 , 연하장애 | 저작곤란 , 잘 씹지 못함 | 체중감소 | 출혈 , 응고부전 | 탈모 , 무모증 | 피부 구진 | 피부 또는 피하의 종창 , 종괴 , 결절 | 호흡시 이상한 냄새 , 구강의 악취 |
",,,,,,,,,,,,,,
460,시베리안 허스키의 모낭형성장애 (HAIR FOLLICLE DYSPLASIA IN SIBERIAN HUSKY DOGS ),개,"모낭의 형성장애는 어린 시베리안 허스키에서 발생하며 3-4개월까지는 정상적으로  털이 성장하다가 이후에 털갈이를 하지 않고  속털의 색깔이 나빠지고  몇몇 부위에 탈모증세가 나타나고 털이 거칠어지고 피부가 건조해짐. 꼬리가  가장 심하게 영향을 받으며 유전적으로 유발. 
",,,,"탈모 , 무모증 | 털의 색소침착감소 | 피부와 털의 건조

",,,,,,,,,,,,,,
505,혈관각화종 (Angiokeratomas in dogs),개,혈관각화종은 검붉은 색의 별개의 연성 구진으로서 나타남. 상피 증식을 동반한 양성 표면 모세혈관확장증. 원인 불명. 피부와 결막에 발생. 병력으로 진단.,,,," 피부 구진 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 색소 과잉 침착 |",,,,,,,,,,,,,,
556,입 또는 피부의 호산성 육아종(Canine oral or skin eosinophilic granuloma),개,드묾 믿기 있는 플라그 같은 병변은 개에 영향을 미치는 구강 또는 피부의 콜라겐 변성과 관계가 있음 병인론은 알려지지 않았고 그러나 조직과 피의 호산성 백혈구 증가증과 스테로이드 민감함은 과민반응을지지 함 구개 염증을 일으키는 플라그 성장하는 혀염증 덩어리 보통 형성 혹은 배와 옆구리에 작은 혹 구진을 볼 지도 모름 늙은 개의 구강 점막 안에 호산성 육아종은 기관 장애를 일으킴,,,," 구강 , 혀의 종창 , 종괴 | 구강점막의궤양 , 수포 , 플라크(반) , 농포 , 미란 , 절창 | 기침 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 상부기도의 비정상 호흡음 , 코고는 소리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 연하곤란 , 연하장애 | 음경포피 , 고환 , 음낭의 종대 , 종괴 | 저작곤란 , 잘 씹지 못함 | 체중감소 | 탈모 , 무모증 | 피부 구진 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 , 털 , 깃털이 축축함 | 피부의 궤양 , 미란 , 찰과상 | 혀의 궤양 , 수포 , 미란 , 궤양 , 수포 , 절창 , 열상 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 호흡시 이상한 냄새 , 구강의 악취 |",,,,,,,,,,,,,,
557,"재발하는 계절의 옆구리 탈모증(Canine recurrent, seasonal, flank alopecia)",개," 재발하는 옆구리 탈모증은 개에 볼 수있음 대부분의 경우 계절 털 빠짐은 옆구리 가슴 부분,짧은 낮주기 동안 털이 빠지고 초고 광주기때 다시 자람 털빠짐은 한쪽 또는 양쪽이 빠 질 수 있음 털은 보통 탈모증 발달 후 3-6개월 동안 다시 자라고 개에 영향을 미치는 반 이상은 가을에 재발함 탈모증과 과도한 색소 침착은 불규칙하고 갑자기 정상에서 피부에 연행을 미침
",,,, 탈모증 |  피부 색소 과잉 침착 |,,,,,,,,,,,,,,
559,불임의 호산성 백혈구 귓바퀴모포염(Canine sterile eosinophilic pinnal folliculitis),개,"개의 불임의 호산성 백혈구 귓바퀴모포염은 개에서 특발성(질환)의 계절 안 타는 쌍방의 (좌우) 대칭적인 피부병임 병변은 귓바퀴에 제한되고 조직학적으로 조직에 호산성 백혈구가 많음,음성 균류와 바이러스가 있음 글루코코키코이드에 좋은 반응을 보임 이병은 만성이지만 감염된 개는 건강함 이것은 불임 호산성 백혈구가 위치함  감염된 개는 귀도관이 정상임",,,," 과각화증 , 두꺼운 피부 | 피부 구진 | 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 |",,,,,,,,,,,,,,
566,"핵스포론증(Caryosporosis, caryospora, in dogs)",개,"속 핵스포론증의 진구충목은 피부병변과 함께 개에서 동일시 됨 조직학으로 알 수 있음
",,,," 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 , 털 , 깃털이 축축함 |",,,,,,,,,,,,,,
602,"만성 방사열성 피부염, 홍반(ERYTHEMA) AB  IGNE(Chronic radiant heat dermatitis, erythema ab igne, in dogs)",개,"사람에서의 erythema ab igne는 피부에 중등도열(declerca and vanbstapel)이  지속적이고 반복적으로 노출될 때 생기며, 홍반과 과색소침착을 특징으로 한다. 개에서는 점적의 탈모증이 생긴다. 피부에는 홍반이나 과색소침착으로 경계지어진 저색소침착이 나타난다. 이러한 병변들은 화상과 비슷하며, 열의 노출과 관련이 있지만, 통증은 없다.",,,, 탈모 | 피부 색소 과잉 침착 | 피부 인설 | 피부색고침착감소 | 피부의 가피 | 피부의 궤양 | 피부홍반 |,,,,,,,,,,,,,,
625,선천적 난포 각화증 (Congential follicular parakeratosis in female rottweilers and siberian husky),개,"암컷 로트와일러와 시베리안 허스키 종에서 선천적인 피부 각화 이상이 생기고, 종종 다른 선천적인 비정상과 연관되어있다.  증상은 일반적이고, 과각화되고, 다양하게 색소침착이 있다. 선 병변 또는 사마귀모양의 엽상 병변이 나타난다. 편평골이나 발바닥에 나타난다.",,,," 과각화증 | 소양감 | 탈모 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 피부 , 털의 건조 | 피부 과잉 색소 침착 | 피부 구진 | 피부 또는 피하의 종창 | 피부색소침착 감소 | 피부의 가피 딱지 | 피부의 악취 | 피부 인설 | 피부 플라크 ",,,,,,,,,,,,,,
628,"접촉전염성 바이러스 농포 피부염(Contagious viral pustular dermatitis in dogs, orf)",개,"바이러스 농포 피부염은 양과 염소에서 주요한 질병임. 이 질병은 양 사체를 급여시킨 개에서 진단됨. 특히 머리 주위에 습성피부염, 궤양, 딱지가 둥글게 생김. 대증요법을 통해 치료하고 1~4주 소요됨. 생검과 양으로의 질병 전파를 통해 진단함. 인수공통임.",,,," 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 | 피부의 궤양 ",,,,,,,,,,,,,,
652,피부와 신사구체 혈관병증(Cutaneous and renal glomerular vasculopathy of greyhounds),개,"피부 홍반, 궤양, 원위 사지 부종의 증후군은 1985년부터 그레이하운드에서 인식되었음. 대부분의 개는 경주적정연력에 영향을 받음. 주로 질소혈증이 있음. 피부병변은 출혈, 섬유소성 동맥염, 혈전증, 경색증으로 특징됨.  영향을 받은 신장은 신모세혈관 내 응고를 통한 과급성 신사구체 괴사가 있음. 피부병변은 주로 뒷다리의 부종으로 시작되지만 대부분의 개에서는 피부병변만 나타나고, 피부증상과 궤양 전 일어날 질소혈증과 같은 복합 증상이 나타날 수 있음. 원인은 알려져 있지만, 질병이 일어나기 쉽게 하는 감염요인이 의심됨. 그레이트 데인에서 비슷한 상황이 기술됨.",,,," 과도한 침흘림 | 구토 | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 무기력 , 침울 , 졸림 , 생기없음 | 발열 | 분변 색깔이 진함 , 암흑색 분변 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 점상 또는 반상출혈 | 창백 | 피부 또는 피하의 종창 | 피부 부종 | 피부의 궤양 | 피부홍반 , 염증 , 발적 | 혈변, 분변내 잠혈 ",,,,,,,,,,,,,,
654,피부 홍반(Cutaneous flushing in dogs),개,"피부 홍반에서는 혈관 확장으로 인해 피부가 붉은 빛으로 변하게 됨. 노령 개에서는 머리, 목, 앞발의 발작 피부 홍반으로 발전하게 됨. 가려움은 없음. 방사선 촬영시 흉강 내 덩어리를 관찰할 수 있음. 부검 시 폐선암종과 비만세포종이 보임. 악성에 대한 지표로 비부에 홍반이 나타남. 홍반이 나타날 다른 이유가 없을 경우에는 악성 종양의 가능성에 대해 의심해 봐야함.",,,," 피부홍반 , 염증 , 발적 ",,,,,,,,,,,,,,
655,피부 혈관육종(Dermal angiosarcoma in dogs),개,특징적인 형태를 가진 종양. 피부와 피하에 생기는 타박상과 유사하나 종양에 따른 혈관 통합은 사지말단 압력에 영향을 주는 조직을 창백하게 함. 전이 가능. 병력을 통해 확진.,,,," 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 무기력 , 침울 , 졸림 , 생기없음 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 피부 부종 | 피부의 열감 | 피부홍반 , 염증 , 발적 |",,,,,,,,,,,,,,
657,microfilaria와 관련된 피부염(Dermatitis associated with microfilaria in dogs),개,미국 서부 지역의 개는 하나 혹은 여러 가지 병변을 특징으로 하는 피부염 다발. superfamily Filaroidea 중의 하나인 선충류의 microfilaria는 표피나 피하에서 자유로이 생활하거나 microgranulomas를 형성. 심장사상충이나 ACANTHOCHEILONEMA RECONDITUM에 의한 것이 아니라 아직 보고되지 않은 filaroid에 의한 것으로 보임.,,,," 소양감 , 가려움 | 탈모 , 무모증 | 피부 구진 | 피부 반흔 , 흉터 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 |
",,,,,,,,,,,,,,
658,포진성피부염(Dermatitis herpetiformis in dogs),개,"사람의 포진성피부염과 유사. 드물게 나타나나 일반 치료로는 쉽게 낫지 않는 강한 소양감 증세, 구진, 딱지가 나타나는 피부염. 병인론은 알려져 있지 않으나 면역유전학과 글루텐에 민감한 장질환이 중요. 임상증상, 병력, dapsone으로 치료시 나타나는 반응 등을 통해 진단",,,," 설사 , 하리 | 소양감 , 가려움 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 부종 | 피부 수포 , 대수포 , 물집 | 피부 통증 | 피부의 가피 , 딱지 | 피부홍반 , 염증 , 발적 |",,,,,,,,,,,,,,
