disease_name,assigned_label
D-limonene의 독성(D-limonene toxicity in cats),비듬_각질_상피성잔고리
퇴행성점액벽모낭염(Degenerative mucinotic mural folliculitis in cats),결절_종괴
"고양이의 흡인성 ,알러지성, 아토피성 피부염, 고양이 아토피(ALLERGIC INHALENT, ATOPIC, DERMATITIS IN CATS, 고양이 ATOPY)",비듬_각질_상피성잔고리
고양이와 말의 전신탈모증(ALOPECIA UNIVERSALIS IN CATS AND HORSES),비듬_각질_상피성잔고리
"고양이와 말의 결절 열모증, 털줄기 창상 (Trichorrhexis nodosa, hair shaft trauma, in horses and cats)",농포_여드름
"고양이에서의 트리코스포론, 트리코스포론 (Trichosporosis in cats, trichosporon)",농포_여드름
리슈마니아증(Leishmaniasis),결절_종괴
림프종/림프육종(Lymphoma/Lymphosarcoma),결절_종괴
모낭충증(Demodicosis),결절_종괴
"근병증- 전신성, 다발성 근염, 피부근염(Myopathy, generalized inflammatory-polymyositis, dermatomyositis)",농포_여드름
"편평세포 암 -발가락(Squamous cell carcinoma, digit)",비듬_각질_상피성잔고리
"편평세포암 -귀(Squamous cell carcinoma, ear)",비듬_각질_상피성잔고리
"편평세포암-피부형(Squamous cell carcinoma, skin)",비듬_각질_상피성잔고리
피부진균증(Dermatophytosis),농포_여드름
피부 무력증(Cutaneous asthenia),결절_종괴
피부 방선균증 (Dermatophilosis),비듬_각질_상피성잔고리
"혈관염, 피부 (Vasculitis, cutaneous)",비듬_각질_상피성잔고리
" 혈관육종, 피부(Hemangiosarcoma, skin)",비듬_각질_상피성잔고리
조직구증(Histiocytosis),결절_종괴
기저 세포종 (Basal cell tumor),비듬_각질_상피성잔고리
자상성(지단핥음) 피부염(Acral lick dermatitis),비듬_각질_상피성잔고리
농피증(Pyoderma),비듬_각질_상피성잔고리
체이레티오시스 (Cheyletiellosis),결절_종괴
알러지성 접촉성 피부염(Allergic contact dermatitis),농포_여드름
뇨나 분변에 의한 열상 (Urine or fecal scald),결절_종괴
유천포창(Bullous pemphigoid),농포_여드름
표재성 괴사성 피부염(Superficial necrolytic dermatitis),농포_여드름
피하 약진(Cutaneous drug eruption),비듬_각질_상피성잔고리
"약물 발진,특이체질적인 피하 반응(Drug eruption, idiosyncratic cutaneous reaction)",비듬_각질_상피성잔고리
"한랭글로불린혈증 (Cold agglutinin disease, cryoglobulinemia, cryofibrinogenemia in dogs, cats)",결절_종괴
특발성 태선모양피부염 (Idiopathic lichenoid dermatitis in dogs and cats),비듬_각질_상피성잔고리
"국한피부경피증 (LOCALIZED SCLERODERMA, CANINE, FELINE OR EQUINE MORPHEA)",비듬_각질_상피성잔고리
"신경섬유종, 신경섬유육종, 신경집종(Neurofibroma, neurofibrosarcoma, neurilemmoma, schwannoma)",비듬_각질_상피성잔고리
"옴진드기, 진드기증, 개선충, 옴 (Sarcoptic mange mites, acariasis, sarcoptes scabiei, scabies in dogs and cats)",비듬_각질_상피성잔고리
"개, 고양이의 지루성 피부염균 감염증, 피부염, 구강감염 (MALASSEZIA PACHYDERMATIS INFECTION, DERMATITIS, ORAL INFECTION IN DOGS AND CATS)",농포_여드름
피부 독성 괴사증(Toxic epidermal necrolysis in dogs and cats),결절_종괴
"기관, 기관지 파열, 천공, 열상, 창상(Tracheal, bronchus, rupture, perforation, laceration, trauma)",결절_종괴
눈꺼풀겉말림(Ectropion),비듬_각질_상피성잔고리
"불완전 상피증식, 피부무형성(Epitheliogenesis imperfecta, aplasia cutis )",비듬_각질_상피성잔고리
"다형홍반(Erythema multiforme in dogs, cats, horses and cattle )",비듬_각질_상피성잔고리
"클로스트리디알 근육염, 가스괴저 (Clostridial myositis, gas gangrene, in dogs and cats)",비듬_각질_상피성잔고리
요막관 개존증(PATENT URACHUS OR URACHAL CYST),비듬_각질_상피성잔고리
낙엽상 천포창(Pemphigus foliaceus in dogs and cats),농포_여드름
"심상 천포창(Pemphigus vulgaris in dogs, cats, and horses)",비듬_각질_상피성잔고리
"개와 고양이에서 피부석회침착증, 종양성 석회침착증 (Calcinosis cutis, circumscripta, tumoral calcinosis in dogs and cats)",결절_종괴
"고양이, 개에서 불완전 뼈 발생 (Osteogenesis imperfecta in cattle, sheep, cats and dogs)",비듬_각질_상피성잔고리
"개와 고양이에서 외이도염, 중이염, 내이염, 곁귀농양 (Otitis externa, media, interna, para-aural abscesses, in dogs and cats)",결절_종괴
개와 고양이의 혈관종(HEMANGIOMA IN DOGS AND CATS),비듬_각질_상피성잔고리
아밀로이드성 치아종 (Amyloid-producing odontogenic tumor),비듬_각질_상피성잔고리
"결핵 고양이 마이코박테리아 감염(Canine, feline tuberculosis, mycobacterium in dogs and cats)",비듬_각질_상피성잔고리
피부 점막 칸디다증(Cutaneous and mucosal candidiasis in the dog and cat),비듬_각질_상피성잔고리
피부 혈관암종(Cutaneous angiomatosis in dogs and cats),결절_종괴
"새진드기의 체내 침입(Dermanyssus gallinae, poultry mite, infestation)",농포_여드름
